Vehicle ID,Game ID,Game,Manufacturer,Vehicle Name,Vehicle Name Alternative,Year,How to Obtain,Value,Performance Index Class,Performance Index Number,Type,Era,Country,Rarity,Rarity Rating,Speed Rating,Acceleration Rating,Braking Rating,Handling Rating,Launch Rating,Offroad Rating,Link
1,1,Forza Motorsport 1,AC,AC Shelby Cobra 427 SC,,1967,Base Game,127000,A1,,,,,,7.3,6.5,7.1,4.6,4.6,,,https://forza.fandom.com/wiki/AC_Shelby_Cobra_427_SC
2,1,Forza Motorsport 1,Acura,Acura #42 Realtime Racing NSX,Acura 42 Realtime Racing NSX,2002,Base Game,268000,R-GT,,,,,,9.8,6.3,7.4,6.3,6.1,,,https://forza.fandom.com/wiki/Acura_42_Realtime_Racing_NSX
3,1,Forza Motorsport 1,Acura,Acura 3.2 CL Type-S,,2003,Base Game,24000,D2,,,,,,4.8,5.4,4.5,4.2,4.3,,,https://forza.fandom.com/wiki/Acura_3.2_CL_Type-S
4,1,Forza Motorsport 1,Acura,Acura Integra Type-R,,2001,Base Game,24000,D1,,,,,,4.7,5.5,4.5,4.2,4.4,,,https://forza.fandom.com/wiki/Acura_Integra_Type-R
5,1,Forza Motorsport 1,Acura,Acura VIS Racing Integra Type-R,,2000,Base Game,88000,B4,,,,,,7.3,5.4,5.2,4.7,4.8,,,https://forza.fandom.com/wiki/Acura_VIS_Racing_Integra_Type-R
6,1,Forza Motorsport 1,Acura,Acura NSX (1997),Acura NSX,1997,Base Game,40000,B3,,,,,,4.9,6.2,5.4,4.5,4.5,,,https://forza.fandom.com/wiki/Acura_NSX_(1997)
7,1,Forza Motorsport 1,Acura,Acura NSX (2004),Acura NSX,2004,Base Game,39000,B3,,,,,,5.0,6.2,5.2,4.5,4.5,,,https://forza.fandom.com/wiki/Acura_NSX_(2004)
8,1,Forza Motorsport 1,Acura,Acura RSX Type-S,,2002,Base Game,24000,D2,,,,,,4.8,5.4,4.5,4.2,4.3,,,https://forza.fandom.com/wiki/Acura_RSX_Type-S
9,1,Forza Motorsport 1,Aston Martin,Aston Martin DB9 Coupe,,2005,Base Game,57000,A3,,,,,,6.0,6.2,6.0,4.5,4.4,,,https://forza.fandom.com/wiki/Aston_Martin_DB9_Coupe
10,1,Forza Motorsport 1,Aston Martin,Aston Martin V12 Vanquish,,2001,Base Game,89000,A3,,,,,,7.0,6.2,5.7,4.5,4.4,,,https://forza.fandom.com/wiki/Aston_Martin_V12_Vanquish
11,1,Forza Motorsport 1,Audi,Audi #1 Champion S4 Competition,Audi 1 Champion S4 Competition,2002,Base Game,242000,R-GT,,,,,,9.7,6.1,7.6,5.8,5.7,,,https://forza.fandom.com/wiki/Audi_1_Champion_S4_Competition
12,1,Forza Motorsport 1,Audi,Audi #1 Champion RS 6,Audi 1 Champion RS 6,2003,Base Game,254000,R-GT,,,,,,9.7,6.4,8.0,5.8,5.7,,,https://forza.fandom.com/wiki/Audi_1_Champion_RS_6
13,1,Forza Motorsport 1,Audi,Audi #1 Infineon R8,Audi R8 (LMP1),2001,Base Game,500000,R-P1,,,,,,10.0,7.6,8.8,9.0,9.0,,,https://forza.fandom.com/wiki/Audi_R8_(LMP1)
14,1,Forza Motorsport 1,Audi,Audi #4 Johansson Motorsport R8,Audi R8 (LMP1),2001,Base Game,500000,R-P1,,,,,,10.0,7.6,8.8,9.0,9.0,,,https://forza.fandom.com/wiki/Audi_R8_(LMP1)
15,1,Forza Motorsport 1,Audi,Audi #8 24h Nürburgring TT-R,Audi 8 ABT TT-R,2004,Base Game,380000,R-GTS,,,,,,9.7,6.6,7.2,6.4,6.4,,,https://forza.fandom.com/wiki/Audi_8_ABT_TT-R
16,1,Forza Motorsport 1,Audi,Audi #38 Champion R8,Audi R8 (LMP1),2001,Base Game,500000,R-P1,,,,,,10.0,7.6,8.8,9.0,9.0,,,https://forza.fandom.com/wiki/Audi_R8_(LMP1)
17,1,Forza Motorsport 1,Audi,Audi RS 6 (2003),Audi RS 6,2003,Base Game,36000,B1,,,,,,5.1,6.3,6.2,4.4,4.3,,,https://forza.fandom.com/wiki/Audi_RS_6_(2003)
18,1,Forza Motorsport 1,Audi,Audi S4 (2000),Audi S4,2000,Base Game,24000,C4,,,,,,4.2,5.9,5.2,4.2,4.3,,,https://forza.fandom.com/wiki/Audi_S4_(2000)
19,1,Forza Motorsport 1,Audi,Audi S4 (2004),Audi S4,2004,Base Game,27000,C2,,,,,,4.6,6.5,5.4,4.2,4.3,,,https://forza.fandom.com/wiki/Audi_S4_(2004)
20,1,Forza Motorsport 1,Audi,Audi TT Coupé 3.2 quattro,,2004,Base Game,21000,D1,,,,,,4.1,5.8,5.0,4.3,4.3,,,https://forza.fandom.com/wiki/Audi_TT_Coupé_3.2_quattro
21,1,Forza Motorsport 1,Bentley,Bentley #7 Team Bentley Speed 8,Bentley 7 Team Bentley Speed 8,2003,Base Game,500000,R-P1,,,,,,10.0,7.6,8.9,9.1,9.1,,,https://forza.fandom.com/wiki/Bentley_7_Team_Bentley_Speed_8
22,1,Forza Motorsport 1,Bentley,Bentley Continental GT,,2004,Base Game,68000,B1,,,,,,6.6,8.1,5.9,4.4,4.2,,,https://forza.fandom.com/wiki/Bentley_Continental_GT
23,1,Forza Motorsport 1,BMW,BMW Motorsport #15 BMW V12 LMR,BMW V12 LMR,1999,Base Game,500000,R-P1,,,,,,10.0,7.5,9.3,9.0,9.0,,,https://forza.fandom.com/wiki/BMW_V12_LMR
24,1,Forza Motorsport 1,BMW,BMW Motorsport #42 M3-GTR,BMW M3-GTR,2003,Base Game,380000,R-GTS,,,,,,9.7,6.6,7.6,6.6,6.5,,,https://forza.fandom.com/wiki/BMW_M3-GTR
25,1,Forza Motorsport 1,BMW,BMW Motorsport #42 McLaren F1 GTR,McLaren F1 GTR,1997,Base Game,500000,R-P1,,,,,,10.0,7.9,9.5,7.9,7.8,,,https://forza.fandom.com/wiki/McLaren_F1_GTR
26,1,Forza Motorsport 1,BMW,BMW Motorsport #43 M3-GTR,BMW M3-GTR,2003,Base Game,380000,R-GTS,,,,,,9.7,6.6,7.6,6.6,6.5,,,https://forza.fandom.com/wiki/BMW_M3-GTR
27,1,Forza Motorsport 1,Buick,Buick Regal GNX,,1987,Base Game,39000,B4,,,,,,5.4,5.3,5.1,4.4,4.5,,,https://forza.fandom.com/wiki/Buick_Regal_GNX
28,1,Forza Motorsport 1,Cadillac,Cadillac #8 LMP-02,Cadillac 6 Team Cadillac Northstar LMP-02,2002,Base Game,500000,R-P1,,,,,,10.0,7.1,9.3,9.4,9.4,,,https://forza.fandom.com/wiki/Cadillac_6_Team_Cadillac_Northstar_LMP-02
29,1,Forza Motorsport 1,Cadillac,Cadillac #16 SCCA CTS-V,Cadillac SCCA CTS-V,2004,Base Game,277000,R-GT,,,,,,9.8,6.7,7.5,6.2,6.1,,,https://forza.fandom.com/wiki/Cadillac_SCCA_CTS-V
30,1,Forza Motorsport 1,Cadillac,Cadillac CTS-V (2004),Cadillac CTS-V,2004,Base Game,43000,B3,,,,,,5.5,6.4,5.7,4.4,4.3,,,https://forza.fandom.com/wiki/Cadillac_CTS-V_(2004)
31,1,Forza Motorsport 1,Chevrolet,Chevrolet #3 IMSA C5-R,Chevrolet Corvette C5.R,2004,Base Game,393000,R-GTS,,,,,,9.9,7.1,7.6,6.6,6.7,,,https://forza.fandom.com/wiki/Chevrolet_Corvette_C5.R
32,1,Forza Motorsport 1,Chevrolet,Chevrolet #73 Corvette Z06,Chevrolet Corvette Z06 (GT3),2003,Base Game,282000,R-GT,,,,,,9.8,6.6,7.2,6.1,6.1,,,https://forza.fandom.com/wiki/Chevrolet_Corvette_Z06_(GT3)
33,1,Forza Motorsport 1,Chevrolet,Chevrolet Camaro SS (2002),Chevrolet Camaro SS,2002,Base Game,42000,B3,,,,,,5.3,5.8,5.3,4.5,4.6,,,https://forza.fandom.com/wiki/Chevrolet_Camaro_SS_(2002)
34,1,Forza Motorsport 1,Chevrolet,Chevrolet Camaro SS Coupe,,1969,Base Game,76000,B4,,,,,,7.1,5.1,5.5,4.1,4.1,,,https://forza.fandom.com/wiki/Chevrolet_Camaro_SS_Coupe
